job_id,standard_title,function,skills_evidence,skills_max_required_level,skills_n_core,skills_n_leadership,management_level,key_responsibilities,description,RATE_skills_degree_1to6,RATE_effort_degree_1to6,RATE_responsibility_degree_1to6,RATE_working_conditions_degree_1to6,rating_notes
J-ENG-02,Software Engineer,Engineering,"System and solution architecture (req 3, Adjacent); Git and version control (req 3, Core); Test-driven development (req 3, Core); API design and integration (req 3, Core); Cloud infrastructure (req 2, Adjacent); Coaching and mentoring (req 2, Leadership)",3,3,1,Individual Contributor,Own design and delivery of medium-complexity features end-to-end | Write production-quality code with comprehensive test coverage | Conduct and participate in code reviews to raise team standards | Contribute to technical design discussions and architecture decisions | Mentor junior engineers and support their growth | Debug and resolve production issues including on-call support,Designs; builds; and maintains software features across the product stack with minimal supervision. Owns delivery of whole components and contributes meaningfully to technical design.,,,,,
J-ENG-03,Senior Software Engineer,Engineering,"Test-driven development (req 4, Core); API design and integration (req 4, Core); System and solution architecture (req 4, Core); Cloud infrastructure (req 4, Core); Risk and compliance management (req 3, Adjacent); Infrastructure as code (req 3, Adjacent); Coaching and mentoring (req 3, Leadership); Stakeholder management (req 3, Leadership)",4,4,2,Informal technical lead — mentors engineers across the team,Lead technical design and architecture for major features and systems | Define | document | and enforce engineering standards and coding guidelines | Mentor mid-level engineers through pairing | review | and 1-1s | Own technical debt reduction roadmap and system reliability | Collaborate with product on technical feasibility and trade-offs | Drive incident response | post-mortems | and reliability improvements,Leads technical design on complex systems; sets engineering quality standards; and mentors engineers. Turns ambiguous and high-impact problems into robust; scalable architecture.,,,,,
J-ENG-04,Engineering Lead,Engineering,"Team leadership and development (req 4, Core); Strategic planning (req 4, Core); Stakeholder management (req 4, Core); Cloud infrastructure (req 4, Core); Performance management (req 4, Leadership); Coaching and mentoring (req 4, Leadership); Project management (req 3, Adjacent); Infrastructure as code (req 3, Adjacent); Budget and resource management (req 3, Leadership)",4,4,3,Team lead — manages 4–10 engineers directly,Lead and develop a team of 4–10 engineers | set expectations and support growth | Own sprint delivery | quality | and technical standards for the team's product area | Define technical vision and architecture to support 12–18 month product roadmap | Own hiring | onboarding | and retention for the team | Partner with product management on roadmap prioritisation and technical strategy | Own the team's reliability posture | on-call rota | and incident response,Owns delivery; technical direction; and team development for an engineering team. Balances hands-on architecture with people leadership; roadmap alignment; and cross-functional collaboration.,,,,,
J-ENG-05,DevOps Engineer,Engineering,"Infrastructure as code (req 4, Core); Container orchestration (req 4, Core); CI/CD pipeline engineering (req 4, Core); Risk and compliance management (req 3, Adjacent); Git and version control (req 3, Adjacent); Security engineering (req 3, Adjacent); Cloud infrastructure (req 3, Core)",4,4,0,Individual Contributor,Design | build | and maintain CI/CD pipelines for fast and reliable deployments | Manage cloud infrastructure as code using Terraform or Pulumi | Define and monitor SLOs/SLAs and respond to reliability issues | Implement security controls | access management | and secrets management | Automate operational processes to reduce toil | Support incident response and lead root-cause analysis,Designs and operates CI/CD pipelines; cloud infrastructure; and observability systems. Keeps product systems reliable; secure; and deployable at pace.,,,,,
J-ENG-06,QA Engineer,Engineering,"API design and integration (req 4, Core); Problem structuring and solving (req 3, Adjacent); Requirements analysis (req 3, Adjacent); CI/CD pipeline engineering (req 3, Adjacent); Git and version control (req 3, Core); Test-driven development (req 3, Core)",4,3,0,Individual Contributor,Design and implement automated test suites — unit | integration | and E2E | Own regression | smoke | and exploratory testing strategy | Define and maintain quality gates embedded in the CI/CD pipeline | Investigate | reproduce | and document defects with clear reproduction steps | Collaborate with developers to improve code testability | Report on quality metrics and defect trends,Owns test strategy; automation frameworks; and quality gates across the product. Catches issues before they reach users and continuously raises engineering quality.,,,,,
J-ENG-07,Frontend Engineer,Engineering,"JavaScript and TypeScript (req 4, Core); Frontend development (req 4, Core); Written and verbal communication (req 3, Adjacent); System and solution architecture (req 3, Adjacent); API design and integration (req 3, Core); Requirements analysis (req 2, Adjacent)",4,3,0,Individual Contributor,Implement UI components from design specifications to pixel-perfect standard | Optimise frontend performance (Core Web Vitals | bundle size | rendering) | Ensure accessibility compliance (WCAG 2.1 AA minimum) | Write tested | maintainable frontend code using component architecture | Collaborate with backend engineers on API design and integration contracts | Maintain the component library or design system,Builds accessible; performant; and production-ready user interfaces. Works closely with design and backend teams to deliver polished product experiences.,,,,,
J-EXEC-01,Chief Executive Officer,Executive,"Strategic planning (req 5, Core); Board and executive advisory (req 5, Core); Team leadership and development (req 5, Core); Budget and resource management (req 5, Core); Stakeholder management (req 5, Leadership); Data-driven decision making (req 4, Adjacent); Change management (req 4, Adjacent); Organisational design (req 4, Leadership)",5,4,2,Executive — leads full organisation,Set company vision and strategic direction | Lead the executive team | Own P&L and company performance | Report to the board and investors | Drive culture and organisational values | Lead M&A and major strategic decisions,"Sets company vision, strategy, and culture. Accountable to the board for the performance and direction of the organisation.",,,,,
J-EXEC-02,Chief Technology Officer,Executive,"Team leadership and development (req 4, Core); Strategic planning (req 4, Core); Stakeholder management (req 4, Core); Cloud infrastructure (req 4, Core); Performance management (req 4, Leadership); Coaching and mentoring (req 4, Leadership); Project management (req 3, Adjacent); Infrastructure as code (req 3, Adjacent); Budget and resource management (req 3, Leadership)",4,4,3,Executive — C-suite leader of the technology function,"Set technology strategy and architecture | Build and lead the engineering organisation | Own platform scalability, security and reliability | Advise the CEO and board on technology investment | Drive technical hiring and engineering culture","Owns the company's technology vision, architecture and engineering organisation; sets technical strategy and scales the platform and teams.",,,,,
J-EXEC-03,Chief Operating Officer,Executive,"Strategic planning (req 5, Core); Budget and resource management (req 5, Core); Board and executive advisory (req 4, Adjacent); Process improvement (req 4, Adjacent); Team leadership and development (req 4, Core); Risk and compliance management (req 4, Core); Change management (req 4, Leadership); Organisational design (req 4, Leadership)",5,4,2,Executive — C-suite leader of the operating function,Set operational strategy and company-wide execution | Drive efficiency and scalability | Own cross-functional delivery and performance | Partner with the CEO on business continuity | Build and lead the operations leadership team,Owns company-wide operational strategy and execution; partners with the CEO to scale the business efficiently and reliably across all functions.,,,,,
J-EXEC-04,Chief Financial Officer,Executive,"Budget and resource management (req 5, Adjacent); Financial modelling (req 5, Core); Treasury and cash management (req 5, Core); Strategic planning (req 5, Core); Risk and compliance management (req 4, Adjacent); Board and executive advisory (req 4, Core); Team leadership and development (req 4, Leadership); Change management (req 4, Leadership)",5,4,2,Executive — C-suite leader of the financial function,"Set financial strategy and capital allocation | Own controlling, treasury and reporting | Lead budgeting and forecasting | Manage investor and board reporting | Ensure financial controls and compliance","Owns financial strategy, controlling, treasury and investor reporting; accountable for the financial health and integrity of the company.",,,,,
J-EXEC-05,Chief Human Resources Officer,Executive,"HR policy and compliance (req 5, Core); Workforce planning (req 5, Core); Team leadership and development (req 5, Core); Strategic planning (req 5, Core); Organisational design (req 4, Adjacent); Board and executive advisory (req 4, Adjacent); Risk and compliance management (req 4, Adjacent); Talent management and succession (req 4, Leadership); Budget and resource management (req 4, Leadership)",5,4,2,Executive — C-suite leader of the human resources function,"Set people and talent strategy | Own organisation design and culture | Lead reward, performance and succession | Advise the CEO and board on people risk | Build the HR leadership team","Owns people strategy, organisation design, culture and reward; accountable for building the organisation and its leadership capability.",,,,,
J-EXEC-06,Chief Marketing Officer,Executive,"Strategic planning (req 5, Core); Brand management (req 5, Core); Board and executive advisory (req 4, Adjacent); Budget and resource management (req 4, Adjacent); Go-to-market planning (req 4, Core); Team leadership and development (req 4, Core); Performance management (req 4, Leadership); Change management (req 4, Leadership)",5,4,2,Executive — C-suite leader of the marketing function,Set marketing and brand strategy | Own demand generation and growth | Lead positioning and messaging | Manage marketing budget and ROI | Build the marketing leadership team,"Owns marketing, brand and growth strategy; accountable for demand, positioning and the marketing organisation.",,,,,
J-EXEC-07,Chief Commercial Officer,Executive,"Revenue forecasting (req 5, Core); Board and executive advisory (req 4, Adjacent); Budget and resource management (req 4, Adjacent); Go-to-market planning (req 4, Core); Team leadership and development (req 4, Core); Strategic planning (req 4, Core); Performance management (req 4, Leadership)",5,4,1,Executive — C-suite leader of the commercial function,Set commercial and revenue strategy | Own sales and go-to-market | Lead pricing and pipeline | Drive revenue growth and forecasting | Build the commercial leadership team,Owns commercial and revenue strategy across sales and go-to-market; accountable for revenue growth and the commercial organisation.,,,,,
J-EXEC-08,Chief Product Officer,Executive,"Team leadership and development (req 5, Core); Strategic planning (req 5, Core); Budget and resource management (req 5, Leadership); Data-driven decision making (req 4, Adjacent); Go-to-market planning (req 4, Core); Board and executive advisory (req 4, Core); Performance management (req 4, Leadership)",5,4,2,Executive — C-suite leader of the product function,Set product vision and strategy | Own the roadmap and discovery | Align product with company strategy | Lead prioritisation and outcomes | Build the product leadership team,"Owns product vision, strategy and roadmap; accountable for product-market fit and the product organisation.",,,,,
J-EXEC-09,Chief Data Officer,Executive,"Data governance and quality (req 5, Core); Strategic planning (req 5, Core); Data pipeline engineering (req 4, Adjacent); Board and executive advisory (req 4, Adjacent); GDPR and data privacy (req 4, Adjacent); Team leadership and development (req 4, Core); Coaching and mentoring (req 4, Leadership); Budget and resource management (req 4, Leadership)",5,3,2,Executive — C-suite leader of the data function,Set data and analytics strategy | Own data governance and quality | Lead the data platform and analytics | Advise leadership on data-driven decisions | Build the data leadership team,"Owns data strategy, analytics and governance; accountable for turning data into value and for the data organisation.",,,,,
J-EXEC-10,Chief Information Officer,Executive,"Team leadership and development (req 4, Core); Strategic planning (req 4, Core); Stakeholder management (req 4, Core); Cloud infrastructure (req 4, Core); Performance management (req 4, Leadership); Coaching and mentoring (req 4, Leadership); Project management (req 3, Adjacent); Infrastructure as code (req 3, Adjacent); Budget and resource management (req 3, Leadership)",4,4,3,Executive — C-suite leader of the information function,Set IT and systems strategy | Own enterprise systems and infrastructure | Lead information security and risk | Manage IT budget and vendors | Build the IT leadership team,"Owns IT strategy, enterprise systems and information security; accountable for the technology backbone and information risk of the company.",,,,,
J-EXEC-11,Chief Legal Officer,Executive,"Board and executive advisory (req 5, Core); Contract and legal advisory (req 5, Core); Budget and resource management (req 4, Adjacent); Risk and compliance management (req 4, Adjacent); Strategic planning (req 4, Core); GDPR and data privacy (req 4, Core); Team leadership and development (req 4, Leadership); Coaching and mentoring (req 4, Leadership)",5,4,2,Executive — C-suite leader of the legal function,Set legal and governance strategy | Own compliance and risk | Lead contracts and corporate legal | Advise the CEO and board on legal risk | Build the legal team,"Owns legal strategy, governance, compliance and risk; accountable for protecting the company legally and for the legal organisation.",,,,,
J-FAC-01,Receptionist,Facilities,"Excel and spreadsheet modelling (req 2, Core); HRIS and HR administration (req 2, Core); Written and verbal communication (req 2, Core); Stakeholder management (req 1, Adjacent); Requirements analysis (req 1, Adjacent); Dutch labour law (req 1, Core)",2,4,0,Individual Contributor,Welcome visitors and manage reception | Handle phone and post | Book meeting rooms | Support office logistics | Keep front-of-house tidy,"First point of contact at reception — welcomes visitors, handles calls and post, and supports the office.",,,,,
J-FAC-02,Facilities Coordinator,Facilities,"Excel and spreadsheet modelling (req 2, Adjacent); Stakeholder management (req 2, Adjacent); Project management (req 2, Core); Written and verbal communication (req 2, Core); Requirements analysis (req 2, Core)",2,3,0,Individual Contributor,Coordinate facilities requests | Manage office suppliers | Support health & safety | Handle access and keys | Assist with events,"Coordinates day-to-day facilities — office services, suppliers and requests — keeping the workplace running.",,,,,
J-FAC-03,Office Manager,Facilities,"Excel and spreadsheet modelling (req 2, Adjacent); Stakeholder management (req 2, Adjacent); Project management (req 2, Core); Written and verbal communication (req 2, Core); Requirements analysis (req 2, Core)",2,3,0,People Manager,Run office operations and services | Manage suppliers and budget | Organise events | Support leadership admin | Own health & safety,"Runs the office end to end — services, suppliers, events and administration — and supports leadership.",,,,,
J-FAC-04,Facility Manager,Facilities,"Team leadership and development (req 4, Core); Process improvement (req 4, Core); Project management (req 3, Adjacent); Data-driven decision making (req 3, Adjacent); Budget and resource management (req 3, Core); Risk and compliance management (req 3, Core); Performance management (req 3, Leadership); Stakeholder management (req 3, Leadership)",4,4,2,People Manager,Lead facilities and workplace services | Manage property and contracts | Own facilities budget | Ensure safety and compliance | Manage vendors,"Leads facilities and workplace services across sites — property, services, safety, budget and vendors.",,,,,
J-FIN-01,Finance Assistant,Finance,"Written and verbal communication (req 2, Adjacent); Excel and spreadsheet modelling (req 2, Core); Bookkeeping and ledger management (req 2, Core); Requirements analysis (req 1, Adjacent); Tax compliance (req 1, Core)",2,3,0,Individual Contributor,Process purchase and sales invoices (AP/AR) and match to purchase orders | Reconcile bank statements and supplier accounts weekly | Support month-end close with journal entries and accruals | Process employee expense claims against policy | Maintain the financial administration in the ERP | Prepare payment run proposals,"Processes financial transactions and supports the finance team with day-to-day administration. Keeps the books accurate, up to date, and ready for review.",,,,,
J-FIN-02,Accountant,Finance,"Excel and spreadsheet modelling (req 3, Core); Bookkeeping and ledger management (req 3, Core); Financial reporting (req 3, Core); Tax compliance (req 3, Core); Audit coordination (req 2, Adjacent); Data-driven decision making (req 2, Adjacent)",3,4,0,Individual Contributor,Prepare monthly | quarterly | and annual financial statements | Maintain the general ledger and chart of accounts | Handle BTW (VAT) declarations and vennootschapsbelasting returns | Reconcile all balance sheet accounts monthly | Coordinate with external accountant and auditors | Prepare audit documentation and schedules,"Maintains the general ledger and prepares statutory and tax-ready accounts. Keeps the books reconciled, accurate, and audit-ready throughout the financial year.",,,,,
J-FIN-03,Financial Analyst,Finance,"Excel and spreadsheet modelling (req 4, Core); Power BI or Tableau (req 3, Adjacent); Data-driven decision making (req 3, Adjacent); Budgeting and financial planning (req 3, Core); Financial modelling (req 3, Core); Management accounting (req 3, Core); Stakeholder management (req 2, Adjacent)",4,4,0,Individual Contributor,Build and maintain integrated financial models (P&L | cash flow | balance sheet) | Prepare monthly management reporting pack with variance analysis vs budget and prior year | Support the annual budget and rolling forecast cycle | Analyse business performance against KPIs and commercial drivers | Present financial insight and recommendations to management | Maintain and continuously improve reporting tools and dashboards,"Builds forecasts, budgets, and variance analysis that steer financial decisions. Turns complex financial data into clear insight that leadership can act on.",,,,,
J-FIN-04,Financial Controller,Finance,"Financial reporting (req 4, Core); Tax compliance (req 4, Core); Audit coordination (req 4, Core); Management accounting (req 4, Core); Financial modelling (req 3, Adjacent); Risk and compliance management (req 3, Adjacent); Team leadership and development (req 3, Leadership); Stakeholder management (req 3, Leadership)",4,4,2,Team lead — manages finance team operationally,Own the month-end and year-end close process end-to-end | Prepare consolidated financial statements under IFRS or Dutch GAAP | Manage audit relationships and coordinate statutory filings (KVK | AFM if applicable) | Design | implement | and test internal controls | Oversee finance team operational output and review | Lead tax compliance including BTW | VPB | and transfer pricing,"Owns the monthly and annual close, financial reporting, and the internal control framework. The guardian of reporting accuracy and the primary contact for external auditors.",,,,,
J-FIN-05,Finance Manager,Finance,"Budget and resource management (req 4, Adjacent); Budgeting and financial planning (req 4, Core); Treasury and cash management (req 4, Core); Management accounting (req 4, Core); Team leadership and development (req 4, Core); Financial reporting (req 3, Adjacent); Stakeholder management (req 3, Adjacent); Board and executive advisory (req 3, Leadership)",4,4,1,Department head — manages finance team of 2–8,Lead | develop | and performance-manage the finance team | Own monthly reporting | board packs | and management accounts | Manage cash flow | banking relationships | and treasury operations | Drive the annual planning and quarterly forecasting process | Ensure full statutory | tax | and regulatory compliance | Partner with business unit heads on commercial and investment decisions,"Leads the finance team and owns planning, reporting, and cash management across the business. Partners with leadership on financial strategy; risk; and commercial decisions.",,,,,
J-FIN-06,Head of Finance,Finance,"Budget and resource management (req 5, Adjacent); Financial modelling (req 5, Core); Treasury and cash management (req 5, Core); Strategic planning (req 5, Core); Risk and compliance management (req 4, Adjacent); Board and executive advisory (req 4, Core); Team leadership and development (req 4, Leadership); Change management (req 4, Leadership)",5,4,2,Executive — leads full finance function,Own financial strategy and long-range planning aligned to company ambition | Lead board | supervisory board | and investor reporting | Manage banking | debt | and capital structure decisions | Oversee group treasury | tax planning | and compliance | Lead M&A financial due diligence and integration | Build and develop the finance function and leadership team,"Sets financial strategy, leads board and investor reporting, and owns treasury; tax; and compliance at group level. The most senior financial voice in the organisation.",,,,,
J-HR-01,HR Assistant,HR,"Excel and spreadsheet modelling (req 2, Core); HRIS and HR administration (req 2, Core); Written and verbal communication (req 2, Core); Stakeholder management (req 1, Adjacent); Requirements analysis (req 1, Adjacent); Dutch labour law (req 1, Core)",2,4,0,Individual Contributor,Process employment contracts and amendments | Administer onboarding and offboarding workflows | Maintain HRIS and personnel files | Handle the HR inbox and first-line employee queries | Support payroll preparation with accurate data | Coordinate training logistics and absence registration,"Supports the HR team with administration: contracts, onboarding, leavers, and the HR inbox. First point of contact for routine employee questions and a stepping stone into advisory work.",,,,,
J-HR-02,HR Advisor,HR,"Stakeholder management (req 3, Adjacent); Dutch labour law (req 3, Core); HR policy and compliance (req 3, Core); Employee relations and casework (req 3, Core); Written and verbal communication (req 3, Core); HRIS and HR administration (req 2, Adjacent); Performance management (req 2, Leadership); Coaching and mentoring (req 2, Leadership)",3,4,2,Individual Contributor,Advise on absenteeism and reintegration (WVP/STECR guidelines) | Apply and interpret CAO and employment contract terms | Guide managers through HR processes (PIP | disciplinary | PIOFAH) | Support the monthly HR cycle | Contribute to policy development and implementation | Coach line managers on people and conduct topics,"Advises managers and employees on HR policy, Dutch labour law, and CAO compliance. Handles casework from performance to absence and translates policy into practical day-to-day decisions.",,,,,
J-HR-03,HR Business Partner,HR,"Dutch labour law (req 4, Core); Workforce planning (req 4, Core); Change management (req 4, Core); Stakeholder management (req 4, Core); Talent management and succession (req 3, Adjacent); Organisational design (req 3, Adjacent); Data-driven decision making (req 3, Adjacent); Team leadership and development (req 3, Leadership); Board and executive advisory (req 3, Leadership)",4,4,2,None — strategic advisory to Senior Leadership,Partner with leadership on workforce planning and org design decisions | Lead change management and cultural transformation programmes | Develop and implement people strategy for a business unit | Advise on senior hiring | succession planning | and critical role coverage | Manage complex employee relations cases and escalations | Report people metrics and trends to leadership,"Partners with senior business leaders on workforce planning, organisational design, and people strategy. Translates commercial goals into a people agenda that drives sustainable performance.",,,,,
J-HR-04,HR Manager,HR,"Dutch labour law (req 4, Core); HR policy and compliance (req 4, Core); Team leadership and development (req 4, Core); Compensation and benefits (req 3, Adjacent); HRIS and HR administration (req 3, Adjacent); Budget and resource management (req 3, Adjacent); Performance management (req 3, Core); Coaching and mentoring (req 3, Leadership)",4,4,1,Team lead — manages HR team of 2–6 FTE,Manage and develop the HR team members | Own the HR policy framework and ensure legal compliance | Lead the annual HR cycle (performance reviews | salary rounds | succession) | Partner with management on operational HR issues and escalations | Oversee payroll accuracy and statutory reporting | Manage employer branding and employee experience initiatives,"Manages the HR team and owns day-to-day people operations, policy development, and compliance across the organisation. Bridges strategic intent and operational HR delivery.",,,,,
J-HR-05,Head of HR,HR,"HR policy and compliance (req 5, Core); Workforce planning (req 5, Core); Team leadership and development (req 5, Core); Strategic planning (req 5, Core); Organisational design (req 4, Adjacent); Board and executive advisory (req 4, Adjacent); Risk and compliance management (req 4, Adjacent); Talent management and succession (req 4, Leadership); Budget and resource management (req 4, Leadership)",5,4,2,Executive — leads full HR function as department head,Set and own the people strategy aligned to business and commercial goals | Lead and develop the HR function and team | Advise the board on workforce risk | talent gaps | and people metrics | Own culture | engagement | and DEI programmes | Lead senior talent management | succession planning | and executive development | Manage HR budget and strategic vendor relationships,"Leads the HR function and sets people strategy at organisation level. Owns culture, workforce risk, and people capability as a board-level agenda item and commercial driver.",,,,,
J-HR-06,Recruiter,HR,"Recruitment and employer branding (req 3, Core); Written and verbal communication (req 3, Core); Sales prospecting and pipeline (req 2, Adjacent); Excel and spreadsheet modelling (req 2, Adjacent); HRIS and HR administration (req 2, Adjacent); Stakeholder management (req 2, Core)",3,3,0,Individual Contributor,Source candidates via job boards | LinkedIn | and referral networks | Screen CVs and conduct first-round interviews | Manage hiring manager relationships and structured interview processes | Negotiate and extend offers within budget and grade | Maintain ATS data quality and reporting | Contribute to employer branding and job content,Runs end-to-end hiring across a range of roles. Owns the full candidate pipeline and experience from first contact through to accepted offer.,,,,,
J-HR-07,Senior Recruiter,HR,"Recruitment and employer branding (req 4, Core); Written and verbal communication (req 4, Core); Sales prospecting and pipeline (req 3, Adjacent); Coaching and mentoring (req 3, Adjacent); Data-driven decision making (req 3, Adjacent); Stakeholder management (req 3, Core)",4,3,0,Informal team lead — mentors junior recruiters,Lead complex | senior-level | and hard-to-fill searches end-to-end | Define and implement sourcing strategy per function and level | Mentor and coach junior recruiters | Build talent pools and pipelines for critical roles | Drive employer branding initiatives and job content quality | Report on recruitment metrics | time-to-hire | and quality of hire,"Leads complex or volume hiring, mentors junior recruiters, and optimises sourcing strategy and employer brand. Owns the quality and speed of hiring across critical and senior roles.",,,,,
